temperature,wind_speed,pressure,humidity,Soil_Name,N,P,K,Crop
20.74622252,2.041019723,1015.235563,21.48755689,loamy,3.61,9.386,9.386,Jowar
21.07257182,1.97081215,1015.603036,21.05331934,clay,37.704,100.544,50.272,Linseed
21.29511471,2.078616231,1013.930248,21.08345255,chalky,4.62,4.62,0,Maize
21.29975463,2.078814547,1014.1938,20.44176569,peaty,2.422,6.055,2.422,Other  Rabi pulses
20.18673188,2.030329236,1014.474803,20.28093197,chalky,0,0,0,Rapeseed &Mustard
21.98240014,2.075230363,1014.573209,20.68368149,peaty,2.288,2.86,0,Safflower
21.96071038,2.001164647,1015.382756,21.67498126,sandy,2.1,0,0,Sesamum
20.9916741,2.012232233,1014.631493,21.74362572,chalky,1.771,1.771,0,Small millets
20.18150277,2.033316772,1015.348919,20.16498712,peaty,0,0,0,Sunflower
20.02406377,2.034794372,1015.557658,21.16458829,loamy,890.974,0,0,Wheat
21.29535872,2.050415236,1014.349554,20.54575239,clay,6.858,17.526,0,Groundnut
21.66241894,2.099290199,1015.322683,20.20194325,silty,27.195,0,0,Maize
21.27685391,2.039966902,1015.259091,21.72566159,silty,7.46,7.46,0,Sunflower
20.19085747,2.0232565,1015.278977,21.99916846,sandy,0.045,0.045,0.045,Sugarcane
21.3984492,2.031969258,1015.872489,21.26499645,peaty,38.25,38.25,38.25,Arhar/Tur
20.42576014,1.990083649,1015.083402,21.77079908,loamy,0,10.368,0,Bajra
21.51636252,2.001732613,1015.397616,20.58315062,sandy,5.3,13.78,13.78,Castor seed
20.73651958,2.001321906,1013.193224,20.35264903,sandy,36.84,98.24,49.12,Cotton(lint)
21.30753047,2.017500479,1014.251761,20.7699673,clay,3.276,3.276,0,Groundnut
22.07374627,2.086127024,1015.286042,21.51576643,loamy,1.288,3.22,1.288,Jowar
21.2465044,1.993641478,1014.35337,20.51850669,clay,0,0,0,Maize
21.17448929,2.0813929,1013.195565,21.79045346,clay,0,0,0,Moong(Green Gram)
21.3205274,2.016885085,1013.794531,20.89094936,chalky,1.325,0,0,Niger seed
20.99610705,1.993399629,1014.909067,20.68967835,chalky,5.98,5.98,0,Other Kharif pulses
20.92731389,2.016495182,1013.020002,20.62986337,sandy,0,0,0,Ragi
21.62367473,2.002124182,1015.864179,20.66498344,loamy,740.002,0,0,Rice
21.20308195,2.058579062,1015.746362,21.82393102,clay,32.508,83.076,0,Sesamum
21.28924292,2.055945819,1015.132147,20.94913945,clay,7.371,0,0,Small millets
21.75387849,2.101003561,1013.258102,21.96340379,sandy,16.82,16.82,0,Soyabean
21.91923201,2.025576867,1015.642557,21.11706603,silt,5.7,5.7,5.7,Sunflower
21.5949819,2.09034176,1015.602757,20.73371717,peaty,0,0,0,Urad
21.39604354,2.066324161,1015.871153,21.64397375,silt,0,36,0,Gram
20.5339827,2.014037946,1013.960368,21.54770641,sandy,6.68,17.368,17.368,Jowar
20.80515957,2.020801799,1013.725158,21.36241988,peaty,7.656,20.416,10.208,Linseed
21.95894708,2.098853613,1015.926372,20.65115195,loamy,1.148,1.148,0,Maize
21.03125198,2.05496495,1014.849163,21.40530805,silty,0,0,0,Other  Rabi pulses
21.716127,2.041959719,1015.217048,20.81533412,sandy,0,0,0,Rapeseed &Mustard
21.30676354,2.065028462,1015.572138,21.43255325,loamy,0.224,0.28,0,Safflower
21.99226461,2.038889582,1014.11523,21.7962453,chalky,0.5,0,0,Sesamum
20.91744586,2.070508543,1014.077147,21.97935589,peaty,0,0,0,Sunflower
20.24755997,1.985219584,1013.63178,20.43647965,chalky,598.552,0,0,Wheat
21.61250386,2.033604897,1015.963023,21.19155111,sandy,7.182,18.354,0,Groundnut
21.19832322,2.089418849,1013.655398,20.20153345,silt,35.742,0,0,Sunflower
20.56939908,1.972828992,1015.96842,20.69906876,clay,8.74,8.74,0,Sugarcane
21.36514265,2.048373552,1013.018343,21.75201742,clay,0.615,0.615,0.615,Arhar/Tur
21.88168065,2.01442794,1015.672874,21.32543375,silt,38.25,38.25,38.25,Bajra
21.98560472,1.97516944,1014.565932,20.22940846,sandy,0,3.104,0,Castor seed
20.33098192,2.026386662,1014.815529,20.10743318,silt,4.53,11.778,11.778,Cotton(lint)
21.37254401,2.104443434,1013.135638,20.63778055,silty,39.204,104.544,52.272,Groundnut
21.01690807,2.106346171,1015.998039,21.84865179,silty,4.284,4.284,0,Jowar
22.00736093,2.084324179,1014.546094,21.9858877,silt,0,0,0,Maize
22.00376369,1.973377677,1015.195224,21.13204292,loamy,1.501,1.501,1.501,Moong(Green Gram)
20.53212407,1.995890989,1015.685161,20.76907096,silty,1.728,2.16,0,Niger seed
21.79329008,2.091564337,1015.857021,21.41238143,sandy,2.65,0,0,Other Kharif pulses
21.2899758,2.065684762,1015.572317,21.56651791,chalky,3.496,3.496,0,Ragi
20.04195163,1.986789398,1015.068103,20.93481804,silt,0,0,0,Rice
21.4331104,2.03139668,1015.540121,21.54694927,chalky,834.164,0,0,Sesamum
22.07683751,2.015282321,1015.782809,21.00794154,chalky,4.068,10.396,0,Small millets
21.96773635,2.063998457,1015.290141,21.29047314,chalky,49.329,0,0,Soyabean
21.87979201,2.072322135,1013.358545,20.8971836,clay,6.38,6.38,0,Sunflower
21.13846625,1.986194445,1015.697473,20.66620503,sandy,0.825,0.825,0.825,Urad
20.42297592,2.00339084,1014.965156,20.65061086,clay,38.25,38.25,38.25,Gram
21.11097443,2.039755704,1015.114228,20.52532059,chalky,0,5.184,0,Jowar
21.32722963,2.014517986,1013.189987,20.61417026,sandy,2.08,5.408,5.408,Linseed
21.88055248,2.064382305,1015.570702,21.6185928,sandy,22.572,60.192,30.096,Maize
21.29380017,1.970184436,1014.539787,21.1712272,sandy,8.876,8.876,0,Other  Rabi pulses
20.33481233,2.050514254,1015.589815,21.81710237,loamy,0,0,0,Rapeseed &Mustard
20.83052023,1.978372089,1013.258133,21.40237825,peaty,0,0,0,Safflower
20.27255825,2.016948842,1013.145279,20.87561442,silty,1.6,2,0,Sesamum
20.91391904,2.010909967,1013.071696,20.42463833,silty,1.775,0,0,Small millets
22.04242407,2.08703586,1014.095581,20.75494451,loamy,2.484,2.484,0,Sunflower
21.0961017,2.000679559,1013.107946,21.87358165,silty,0,0,0,Wheat
22.0672143,2.009067221,1015.555548,21.90992799,loamy,843.64,0,0,Groundnut
21.64701516,2.014855661,1014.308985,20.48311691,loamy,6.39,16.33,0,Maize
21.46889748,2.008596227,1013.994808,20.62646235,chalky,50.673,0,0,Sunflower
21.75836476,2.008114583,1014.766006,21.71879061,silty,8.54,8.54,0,Sugarcane
20.84647359,1.986612668,1014.274354,22.06941203,clay,2.535,2.535,2.535,Arhar/Tur
21.86454081,2.053319367,1013.723975,21.22210829,silty,38.25,38.25,38.25,Bajra
20.42671862,1.986686921,1014.252909,20.93144194,silty,0,25.136,0,Castor seed
20.25685155,2.03136695,1014.028389,21.57339885,silt,7.36,19.136,19.136,Cotton(lint)
21.58424222,2.083657531,1013.15415,21.11200665,chalky,16.008,42.688,21.344,Groundnut
20.13183722,2.082261732,1015.591614,20.24930739,peaty,6.44,6.44,0,Jowar
21.45761306,2.053475525,1015.811128,21.05860532,chalky,3.304,8.26,3.304,Maize
20.79307161,1.992602278,1013.957667,21.48943133,chalky,0.152,0.152,0.152,Moong(Green Gram)
21.44454281,2.106969828,1013.891929,20.38054246,chalky,4,5,0,Niger seed
21.75543845,2.074952283,1014.410524,21.68054108,peaty,1.5,0,0,Other Kharif pulses
21.67052522,2.04984548,1014.566557,20.04986346,silt,10.58,10.58,0,Ragi
20.78068489,1.996431865,1014.345976,21.45374566,peaty,0,0,0,Rice
21.81173431,2.087713961,1013.717706,20.62947895,loamy,906.844,0,0,Sesamum
20.91256842,2.103996558,1014.992654,20.82569313,silt,6.21,15.87,0,Small millets
20.70016667,2.090752634,1014.200112,20.71597186,chalky,71.064,0,0,Soyabean
21.56461669,1.973694749,1015.938705,21.34760362,peaty,8.46,8.46,0,Sunflower
20.7188991,2.020508987,1015.884218,20.18578338,sandy,1.95,1.95,1.95,Urad
21.00181351,2.067533857,1013.87753,21.03983832,silty,38.25,38.25,38.25,Gram
20.68237426,2.080223295,1015.285391,21.90232561,silt,0,14.128,0,Jowar
20.74068838,2.093917568,1015.849695,20.56125482,peaty,10.09,26.234,26.234,Linseed
20.45696955,1.972404662,1014.072262,20.54863782,peaty,38.892,103.712,51.856,Maize
20.6221856,2.064517176,1014.819419,22.02852704,clay,5.096,5.096,0,Other  Rabi pulses
21.34703939,1.982811656,1013.995744,20.58715906,clay,0,0,0,Rapeseed &Mustard
20.17545318,1.996896443,1013.855955,21.33347836,loamy,0,0,0,Safflower
21.90746998,2.001236331,1013.125312,21.01928574,silty,3.84,4.8,0,Sesamum
20.1039186,2.019353968,1014.775625,21.29412917,clay,2.775,0,0,Small millets
21.24281101,2.02426345,1015.19001,20.21915992,silty,4.531,4.531,0,Sunflower
21.79169495,2.07167553,1014.90043,20.27573034,silt,0,0,0,Wheat
21.30452317,2.05073377,1014.708192,21.14655875,silt,916.136,0,0,Groundnut
21.5192257,2.046189153,1014.571569,20.22651601,silt,9.63,24.61,0,Maize
20.99240487,2.029427572,1013.603201,21.63780732,chalky,56.07,0,0,Sugarcane
21.75168512,2.019762844,1013.662467,20.57225023,clay,9,9,0,Arhar/Tur
20.42431289,2.011550562,1014.545482,21.07498521,sandy,0,0,0,Bajra
20.71335008,2.055364111,1015.009543,21.05901866,loamy,38.25,38.25,38.25,Cotton(lint)
20.55811587,2.062627391,1014.199782,20.22777185,loamy,0,23.184,0,Groundnut
20.91658834,1.976769549,1013.31109,20.59924313,silty,5.64,14.664,14.664,Jowar
20.6060923,2.006479197,1015.775973,20.84957569,sandy,41.7,111.2,55.6,Maize
20.28225928,2.0994531,1014.081858,21.60931945,loamy,7.476,7.476,0,Moong(Green Gram)
21.47641437,2.093009568,1014.191454,21.38489871,peaty,2.1,5.25,2.1,Niger seed
21.10702718,2.059861865,1013.191765,20.17951836,clay,0,0,0,Other Kharif pulses
20.96210973,2.106152467,1014.137529,21.50490603,silty,3.392,4.24,0,other oilseeds
21.62552784,2.064920955,1015.888974,20.02425551,loamy,2.8,0,0,Ragi
21.85765595,2.034754825,1013.608299,21.01303264,sandy,2.898,2.898,0,Rice
20.96902027,2.090673166,1014.690096,20.91614131,loamy,0,0,0,Sesamum
20.13494179,2.042327485,1013.227703,21.64304086,loamy,901.37,0,0,Small millets
20.31783725,2.054805533,1015.790525,20.19560246,clay,7.704,19.688,0,Soyabean
21.67756287,2.083135725,1015.956231,21.31686867,chalky,50.568,0,0,Sunflower
20.83697875,2.084210685,1014.612548,20.87047086,chalky,8.22,8.22,0,Urad
20.17783967,1.992188131,1013.318241,20.43844462,sandy,0.465,0.465,0.465,Gram
21.42507633,2.088889017,1015.423582,21.41732671,silt,38.25,38.25,38.25,Jowar
21.81989846,2.045977393,1015.623276,21.70198423,silt,0,26.832,0,Linseed
20.2351045,2.088439977,1015.067146,20.79987835,silt,10.24,26.624,26.624,Maize
20.49969786,2.105833997,1013.844473,21.21057486,silt,41.496,110.656,55.328,Other  Rabi pulses
20.07116229,2.037317434,1013.838214,20.25506267,peaty,7.84,7.84,0,Rapeseed &Mustard
20.47842678,1.991369131,1014.295261,20.7213568,clay,7.504,18.76,7.504,Safflower
21.72710793,2.087923608,1013.247155,20.47593935,silt,0,0,0,Sesamum
20.80889091,2.097601597,1013.079316,22.02393522,peaty,2.896,3.62,0,Small millets
21.58629873,2.064580836,1013.668769,20.64647798,sandy,3.15,0,0,Sunflower
20.33754159,2.059664916,1014.624868,21.29286777,loamy,3.45,3.45,0,Wheat
22.03320406,2.088666691,1014.707368,20.04223685,loamy,0,0,0,Groundnut
21.24654434,2.04082875,1014.854579,20.34529181,peaty,902.566,0,0,Sunflower
20.70094431,2.0729077,1015.013251,22.05219979,silt,6.516,16.652,0,Banana
21.25309805,2.006818418,1014.46498,21.8270537,chalky,59.22,0,0,Grapes
20.34433833,2.071761338,1013.045285,20.12127474,loamy,7.68,7.68,0,Mango
22.07422507,2.068980324,1014.218038,20.23488565,clay,3.255,3.255,3.255,Onion
20.18230524,2.069119752,1014.162864,21.01549513,clay,38.25,38.25,38.25,Sugarcane
21.62196296,2.065525265,1015.77678,20.92289097,loamy,0,28.048,0,Tomato
20.76814299,2.0020312,1013.280471,20.42792202,peaty,10.5,27.3,27.3,Arhar/Tur
20.72271265,2.105238595,1015.061641,20.46858436,silty,39.72,105.92,52.96,Bajra
21.41918983,2.046843361,1015.770055,21.83615846,peaty,8.008,8.008,0,Groundnut
20.42591875,2.024060169,1013.971163,21.02840259,sandy,5.824,14.56,5.824,Jowar
20.82334384,1.989898189,1015.453191,20.34081536,silty,0,0,0,Maize
21.09510131,2.06726307,1015.878411,21.13885924,clay,3.008,3.76,0,Moong(Green Gram)
21.69289735,2.042660589,1014.570942,20.98866984,sandy,2.775,0,0,Niger seed
21.66923694,1.990522457,1014.721614,22.02724082,silt,2.921,2.921,0,Other Cereals & Millets
21.3724852,1.996309184,1014.612279,20.62113616,chalky,0,0,0,Other Kharif pulses
20.26742447,2.025376226,1013.885021,21.54193902,silty,928.372,0,0,other oilseeds
21.00901058,2.087811747,1013.311032,21.20191479,sandy,6.93,17.71,0,Ragi
20.06243724,2.02220419,1013.880858,21.32067628,silty,52.08,0,0,Rice
21.97640741,1.998763098,1013.329645,21.68847852,silty,8.6,8.6,0,Sesamum
21.95803127,2.068260305,1015.567851,20.41776243,silty,2.16,2.16,2.16,Sunflower
21.16084116,2.043897106,1015.244623,21.70059318,chalky,38.25,38.25,38.25,Urad
20.87109541,1.976585461,1014.264601,21.93395561,clay,0,20.08,0,Gram
20.2653862,2.064623568,1014.645903,20.56651899,peaty,3.13,8.138,8.138,Jowar
20.30792826,2.005898917,1015.909394,20.791834,clay,38.688,103.168,51.584,Linseed
21.12520441,2.021346705,1014.414763,21.46628192,chalky,7.588,7.588,0,Maize
20.64139377,1.97888694,1013.692271,21.98550721,sandy,1.596,3.99,1.596,Other  Rabi pulses
21.47614107,1.988774473,1013.995926,20.44064082,loamy,0,0,0,Other Cereals & Millets
21.59359876,1.978097637,1013.867467,20.62294326,chalky,2.8,3.5,0,Rapeseed &Mustard
21.94717448,2.100640933,1014.915464,21.0732542,silty,2.525,0,0,Safflower
21.66510516,2.009278489,1015.845351,20.97387975,silty,3.91,3.91,0,Sesamum
21.18484032,1.995374656,1015.110676,20.65078093,clay,0,0,0,Soyabean
20.27145492,1.972214054,1015.047673,20.67271476,sandy,920.828,0,0,Sunflower
21.22613534,2.015717306,1013.44323,20.20440143,silt,7.992,20.424,0,Wheat
22.05265825,2.011659522,1013.786074,22.05663767,peaty,40.908,0,0,Groundnut
20.61042203,2.086415354,1013.670339,20.85674776,silt,7.66,7.66,0,Maize
21.16043731,2.011270288,1015.185402,21.94412262,chalky,0.975,0.975,0.975,Sunflower
21.51868203,2.093915842,1015.619564,21.56596785,silty,38.25,38.25,38.25,Cotton(lint)
21.56630558,2.090688858,1014.247256,20.31656808,silt,0,15.712,0,Sugarcane
20.96601856,2.10836736,1015.568463,21.0709744,sandy,3.61,9.386,9.386,Arhar/Tur
20.92995186,1.971981558,1014.948978,20.957359,peaty,37.704,100.544,50.272,Bajra
20.34637482,2.059649406,1014.624347,21.48756626,peaty,4.62,4.62,0,Castor seed
20.31004272,2.022520142,1013.479437,21.35985696,clay,2.422,6.055,2.422,Cotton(lint)
20.99684989,2.023503851,1013.817687,20.91597072,sandy,0,0,0,Groundnut
20.645079,2.007354517,1013.085795,20.06770498,clay,2.288,2.86,0,Moong(Green Gram)
20.45653528,1.994879011,1014.808682,21.73291417,sandy,2.1,0,0,Niger seed
20.90041873,1.996606589,1015.790555,21.913269,clay,1.771,1.771,0,Ragi
21.56394149,2.005146942,1014.055276,20.18200899,silt,0,0,0,Rice
20.74871117,2.085233483,1015.677864,21.66202146,sandy,890.974,0,0,Sesamum
20.04054787,2.006616825,1013.351167,20.5598172,silt,6.858,17.526,0,Soyabean
21.32324682,2.010811503,1015.140433,21.84224465,silt,27.195,0,0,Sugarcane
20.94364248,2.09153747,1013.221124,21.10640917,sandy,7.46,7.46,0,Sunflower
20.37707529,2.096078059,1015.058825,20.08433982,clay,0.045,0.045,0.045,Urad
21.33775517,2.02553162,1014.936539,20.36184727,peaty,38.25,38.25,38.25,Gram
20.77838558,2.073291485,1013.298301,20.546214,silty,0,10.368,0,Linseed
21.42976296,2.107467673,1013.777909,20.93785843,loamy,5.3,13.78,13.78,Rapeseed &Mustard
20.98680407,1.981027794,1013.388371,21.81905257,loamy,36.84,98.24,49.12,Safflower
21.84645767,2.088364628,1014.384346,20.07984484,loamy,3.276,3.276,0,Sesamum
21.78879367,2.064881697,1013.276737,21.44093511,sandy,1.288,3.22,1.288,Sunflower
20.64380869,1.983560626,1015.632859,21.29550826,silty,0,0,0,Wheat
20.16411062,2.052087598,1014.158761,20.86556333,sandy,0,0,0,Groundnut
20.34382804,2.007106794,1015.957559,21.20800717,peaty,1.325,0,0,Sunflower
21.08898738,2.105435176,1013.752053,20.26104456,silty,5.98,5.98,0,Arhar/Tur
22.01132308,2.001441661,1013.704162,20.84597866,peaty,0,0,0,Bajra
20.57530486,2.05752538,1013.348148,21.8287512,loamy,740.002,0,0,Cotton(lint)
20.44637139,2.105605424,1013.772522,21.8192525,sandy,32.508,83.076,0,Groundnut
20.40444178,2.018187337,1014.836552,21.76771133,clay,7.371,0,0,Jowar
21.39548345,2.073764547,1014.015945,21.81564517,loamy,16.82,16.82,0,Maize
21.12420786,2.093508102,1014.096273,20.89689924,chalky,5.7,5.7,5.7,Moong(Green Gram)
20.48710294,2.023102435,1014.489061,21.0667109,loamy,0,0,0,Niger seed
20.87770456,2.093037226,1014.954517,20.8280882,sandy,0,36,0,Ragi
20.93912269,2.040387808,1014.467441,21.08355067,sandy,6.68,17.368,17.368,Rice
20.14926013,2.047296129,1014.231922,21.00200484,chalky,7.656,20.416,10.208,Sesamum
20.08291586,2.076987649,1013.554874,20.42505885,chalky,1.148,1.148,0,Soyabean
20.32156236,2.027103759,1014.575145,21.1552223,silt,0,0,0,Sunflower
21.10708088,2.073071022,1015.231478,20.80618721,sandy,0,0,0,Urad
21.14751829,2.017978089,1015.022237,20.17787769,loamy,0.224,0.28,0,Gram
21.71038847,1.97509244,1015.924856,21.28923769,silt,0.5,0,0,Jowar
21.99446595,2.036777235,1013.318066,20.72206178,chalky,0,0,0,Linseed
21.48210023,2.016907836,1014.79066,20.45381788,silty,598.552,0,0,Maize
20.28749138,2.01176742,1013.949133,22.06301095,peaty,7.182,18.354,0,Rapeseed &Mustard
21.20471356,1.994182396,1014.688813,20.48934868,silt,35.742,0,0,Safflower
21.05962913,1.987887451,1015.098784,20.69008275,chalky,8.74,8.74,0,Sesamum
20.55342751,2.070771961,1014.732207,21.87424907,silty,0.615,0.615,0.615,Sunflower
21.30715835,2.025248827,1013.740263,21.23431923,sandy,38.25,38.25,38.25,Wheat
21.87561373,2.066132903,1013.535215,21.67963465,silty,0,3.104,0,Groundnut
21.60132298,1.991673695,1015.723671,20.39038386,sandy,4.53,11.778,11.778,Maize
21.26944225,2.014563425,1015.829115,21.60433863,silty,39.204,104.544,52.272,Sunflower
21.69707278,2.07039294,1013.955514,21.36345665,chalky,4.284,4.284,0,Arhar/Tur
20.76193599,2.065761894,1013.186751,21.86618068,chalky,0,0,0,Bajra
21.2415323,2.020390601,1013.007384,21.40761104,silt,1.501,1.501,1.501,Castor seed
20.14240726,1.972478424,1014.056082,20.83337919,silty,1.728,2.16,0,Cotton(lint)
21.83021979,2.020687354,1015.368852,20.65942497,peaty,2.65,0,0,Groundnut
20.96048253,2.097973152,1015.842087,20.67459976,chalky,3.496,3.496,0,Jowar
20.71045963,2.038539877,1015.247984,20.71179071,sandy,0,0,0,Maize
20.64809784,2.036099914,1015.682013,20.43727981,silt,834.164,0,0,Moong(Green Gram)
20.61108941,1.98651104,1013.953609,21.51278813,chalky,4.068,10.396,0,Ragi
20.85169348,1.973018471,1013.313371,21.82107234,peaty,49.329,0,0,Rice
20.6848259,2.083143013,1014.361239,21.20240416,sandy,6.38,6.38,0,Sesamum
20.07853475,2.101080907,1014.381454,20.52760499,loamy,0.825,0.825,0.825,Soyabean
20.67985674,2.105121207,1015.44502,20.24246045,silty,38.25,38.25,38.25,Sunflower
21.05691518,2.044933643,1015.228585,20.69054186,loamy,0,5.184,0,Urad
20.09597013,2.106148691,1015.000797,20.93511132,clay,2.08,5.408,5.408,Gram
21.48398138,2.011192462,1013.234075,20.48033616,clay,22.572,60.192,30.096,Jowar
21.36821249,2.042814644,1014.169138,21.1441566,peaty,8.876,8.876,0,Linseed
21.77145209,2.066729376,1013.913101,20.69521043,silty,0,0,0,Maize
21.67691185,2.107042679,1014.124652,20.68966281,sandy,0,0,0,Rapeseed &Mustard
20.65302061,1.976047111,1013.691118,20.59721223,silt,1.6,2,0,Safflower
21.03941982,2.070144388,1015.657382,20.45309799,silty,1.775,0,0,Sesamum
21.13456148,2.095279736,1014.759789,20.81911145,peaty,2.484,2.484,0,Sunflower
20.50033368,2.05811302,1015.924981,21.91668342,peaty,0,0,0,Wheat
21.58076931,2.015738154,1013.514969,21.43853609,peaty,843.64,0,0,Groundnut
21.74983963,2.014588377,1015.327218,21.44758824,peaty,6.39,16.33,0,Maize
21.89982128,2.087207266,1013.783972,21.92024374,silty,50.673,0,0,Sunflower
20.16201418,2.006829325,1013.870611,20.47321975,clay,8.54,8.54,0,Sugarcane
20.90949351,2.07987361,1013.009623,20.44941468,silty,2.535,2.535,2.535,Arhar/Tur
20.59264249,1.994238299,1014.380293,21.75197175,silt,38.25,38.25,38.25,Bajra
